Processor,Transistor count,Year,Designer,Process ( nm ),Area ( mm 2 ),Transistor density (tr./mm 2 ),Type
GT215 Tesla,"727,000,000",2009,Nvidia,40 nm,144 mm2,"5,049,000",GPU
GT216 Tesla,"486,000,000",2009,Nvidia,40 nm,100 mm2,"4,860,000",GPU
GT218 Tesla,"260,000,000",2009,Nvidia,40 nm,57 mm2,"4,561,000",GPU
GV100 Volta,"21,100,000,000",2017,Nvidia,12 nm,815 mm2,"25,890,000",GPU
Hawaii GCN2,"6,300,000,000",2013,AMD,28 nm,438 mm2,"14,380,000",GPU
"i740 (Intel, Real3D)","3,500,000",1998,Intel,350 nm,?,?,GPU
Juniper RV840,"1,040,000,000",2009,ATI,40 nm,166 mm2,"6,265,000",GPU
Lexa/Polaris 12 GCN4,"2,200,000,000",2017,AMD,14 nm,101 mm2,"21,780,000",GPU
MI300X,"153,000,000,000",2023,AMD,5 nm,?,?,GPU
Navi 10 RDNA1,"10,300,000,000",2019,AMD,7 nm,251 mm2,"41,040,000",GPU
Navi 14 RDNA1,"6,400,000,000",2019,AMD,7 nm,158 mm2,"40,510,000",GPU
Navi 21 RDNA2,"26,800,000,000",2020,AMD,7 nm,520 mm²,"51,540,000",GPU
Navi 22 RDNA2,"17,200,000,000",2021,AMD,7 nm,335 mm²,"51,340,000",GPU
Navi 23 RDNA2,"11,060,000,000",2021,AMD,7 nm,237 mm²,"46,670,000",GPU
Navi 24 RDNA2,"5,400,000,000",2022,AMD,6 nm,107 mm²,"50,470,000",GPU
"Navi 31 RDNA3 (MCM)
","57,700,000,000",2022,AMD,"5 nm (GCD)
6 nm (MCD)","531 mm² (MCM)
306 mm² (GCD)
6×37.5 mm² (MCD)","109,200,000 (MCM)
132,400,000 (GCD)
54,640,000 (MCD)",GPU
Navi 32 RDNA3 (MCM),"28,100,000,000",2023,AMD,"5 nm (GCD)
6 nm (MCD)","350 mm² (MCM)
200 mm² (GCD)
4×37.5 mm² (MCD)","80,200,000 (MCM)",GPU
Navi 33 RDNA3,"13,300,000,000",2023,AMD,6 nm,204 mm²,"65,200,000",GPU
Neo (PlayStation 4 Pro),"5,700,000,000",2016,AMD,16 nm,325 mm2,"17,540,000",GPU
"NV1 (Nvidia, Sega)","1,000,000",1995,Nvidia,500 nm,90 mm2,"11,000",GPU
NV2A,"60,000,000",2001,Nvidia,150 nm,?,?,GPU
NV3,"3,500,000",1997,Nvidia,350 nm,90 mm2,"38,900",GPU
NV4,"7,000,000",1998,Nvidia,350 nm,90 mm2,"78,000",GPU
NV5,"15,000,000",1999,Nvidia,250 nm,90 mm2,"167,000",GPU
NV10,"17,000,000",1999,Nvidia,220 nm,111 mm2,"153,000",GPU
NV11,"20,000,000",2000,Nvidia,180 nm,65 mm2,"308,000",GPU
NV15,"25,000,000",2000,Nvidia,180 nm,81 mm2,"309,000",GPU
NV17/18,"29,000,000",2002,Nvidia,150 nm,65 mm2,"446,000",GPU
